pollutant,state,count,mean,std,min,25%,50%,75%,max
Ozone,Alabama,22.0,0.04123281818181818,0.0030346889640002835,0.036282999999999996,0.038517749999999996,0.041873999999999995,0.043869000000000005,0.045025
Ozone,Alaska,2.0,0.028851500000000002,0.007056218569460559,0.023862,0.026356750000000005,0.028851500000000002,0.03134625,0.033841
Ozone,Arizona,54.0,0.04717894444444443,0.002688436442672452,0.039959,0.045834,0.0469735,0.049248999999999994,0.052386
Ozone,Arkansas,8.0,0.0395005,0.0020959006928491885,0.035541,0.03882175,0.039985,0.040498,0.042022
Ozone,California,175.0,0.04304492571428573,0.007190538787717392,0.020109,0.0383215,0.042986,0.0486845,0.060326
Ozone,Colorado,34.0,0.0462750588235294,0.003571335239147163,0.038922000000000005,0.045207750000000005,0.0467225,0.048658,0.055679999999999986
Ozone,Connecticut,12.0,0.04423341666666667,0.002753630544252882,0.038413,0.043195250000000004,0.044769500000000004,0.046296000000000004,0.047632
Ozone,Country Of Mexico,1.0,0.045291000000000005,,0.045291000000000005,0.045291000000000005,0.045291000000000005,0.045291000000000005,0.045291000000000005
Ozone,Delaware,7.0,0.04350428571428572,0.002508820686716219,0.03848,0.04295499999999999,0.044652,0.0449735,0.045541000000000005
Ozone,District Of Columbia,3.0,0.04253199999999999,0.0039073263237154885,0.039082,0.0404105,0.041739,0.044257,0.046775
Ozone,Florida,58.0,0.03693505172413794,0.0018361087708331193,0.032443,0.03608775,0.0369365,0.038363999999999995,0.04034
Ozone,Georgia,19.0,0.04261494736842106,0.0024569948779778433,0.038905,0.040914,0.042709,0.044295,0.048131
Ozone,Hawaii,2.0,0.028130500000000003,0.0010231835123769345,0.027407,0.027768750000000002,0.028130500000000003,0.02849225,0.028854
Ozone,Idaho,4.0,0.0372035,0.00767273221653582,0.027357,0.033879,0.037883,0.0412075,0.045691
Ozone,Illinois,37.0,0.04218337837837838,0.0021078069481407996,0.036436,0.04086,0.042246,0.04365,0.046485000000000005
Ozone,Indiana,42.0,0.04199857142857143,0.002017217271184184,0.036937,0.0409345,0.042304499999999995,0.0435785,0.045314
Ozone,Iowa,24.0,0.039067083333333336,0.0015532170238535265,0.035571,0.038214750000000006,0.039252499999999996,0.04030875,0.041167
Ozone,Kansas,9.0,0.04074844444444445,0.0021423242699875715,0.036338999999999996,0.039844,0.040728,0.042556,0.04295
Ozone,Kentucky,29.0,0.042798137931034486,0.0018400184339941875,0.039145,0.041574,0.043037,0.044037,0.045558999999999995
Ozone,Louisiana,22.0,0.036913,0.0017626719706713648,0.031672000000000006,0.036296999999999996,0.0368385,0.038038999999999996,0.039979
Ozone,Maine,16.0,0.0359845,0.0024149652309436403,0.030483,0.035110749999999996,0.036354,0.037647,0.039669
Ozone,Maryland,20.0,0.0453369,0.0024328644780219582,0.040863,0.04389975,0.045793,0.04708025,0.050029
Ozone,Massachusetts,17.0,0.040428470588235295,0.0026868954928887497,0.033721,0.03934,0.041221,0.041864,0.044742
Ozone,Michigan,29.0,0.039298896551724145,0.0021570763504738075,0.03405,0.037845,0.039376999999999995,0.041096,0.042888
Ozone,Minnesota,17.0,0.03606458823529411,0.0018995183948445828,0.033032,0.034504,0.035920999999999995,0.037656,0.039505
Ozone,Mississippi,10.0,0.039832900000000004,0.0018430452728508263,0.036517,0.038835499999999995,0.040271,0.041061,0.042344
Ozone,Missouri,44.0,0.041932886363636374,0.0016247426302936248,0.037108999999999996,0.040805749999999995,0.0423045,0.04290775,0.044909
Ozone,Montana,7.0,0.04085,0.001964651707894642,0.037221,0.0401895,0.041069,0.042175,0.042931
Ozone,Nebraska,5.0,0.0374574,0.002729962875205447,0.034362000000000004,0.035039,0.038,0.039013,0.040873
Ozone,Nevada,23.0,0.04546430434782609,0.003629126935263214,0.038997,0.0434745,0.044769,0.047493,0.052000000000000005
Ozone,New Hampshire,12.0,0.03744133333333333,0.0022348041335095823,0.033652,0.036034500000000004,0.037787,0.038858000000000004,0.040808
Ozone,New Jersey,17.0,0.04172941176470588,0.0028460010773632793,0.035237,0.040833999999999995,0.042332999999999996,0.044188,0.044742
Ozone,New Mexico,21.0,0.046997619047619045,0.0015297228989653803,0.043197,0.046293,0.04702,0.047954,0.050331
Ozone,New York,31.0,0.03949887096774193,0.0029670897946409303,0.031692000000000005,0.037850499999999995,0.039237,0.041292499999999996,0.044913999999999996
Ozone,North Carolina,38.0,0.044162473684210536,0.0025471444290679724,0.037142,0.04264,0.044606,0.046144000000000004,0.047727
Ozone,North Dakota,10.0,0.039308699999999995,0.002119503508424137,0.034669,0.038423,0.0397295,0.0408805,0.041431
Ozone,Ohio,51.0,0.04337652941176472,0.002415275515157152,0.036034,0.042119000000000004,0.043657,0.045066,0.047448
Ozone,Oklahoma,21.0,0.04173866666666667,0.002422604638262985,0.037958,0.039639,0.041787,0.043607,0.045788999999999996
Ozone,Oregon,10.0,0.0347972,0.004752489027399804,0.028711,0.03191575,0.033269499999999994,0.037101999999999996,0.042454
Ozone,Pennsylvania,53.0,0.041788792452830195,0.0024959022136177415,0.036704,0.040389,0.041976,0.04333,0.046571
Ozone,Puerto Rico,3.0,0.009614333333333332,0.0036339381300915575,0.005862,0.007863,0.009864,0.011490499999999999,0.013116999999999998
Ozone,Rhode Island,3.0,0.04395966666666667,0.0019168018503051706,0.041977,0.043038,0.044099,0.044951,0.045802999999999996
Ozone,South Carolina,18.0,0.04477327777777778,0.003133513378744575,0.035089999999999996,0.04348149999999999,0.045739,0.0462905,0.048253
Ozone,South Dakota,6.0,0.04223483333333333,0.003550050783674322,0.037986,0.0399415,0.0419205,0.04376825,0.047916
Ozone,Tennessee,23.0,0.04380095652173913,0.0021322777722481926,0.039979,0.042355000000000004,0.043675,0.045378,0.047591
Ozone,Texas,74.0,0.03925212162162163,0.004262021759465364,0.031202999999999998,0.035551,0.039678500000000005,0.04273375,0.04749
Ozone,Utah,31.0,0.04383312903225806,0.005513916217123939,0.026032999999999997,0.042429499999999995,0.044629,0.047240500000000005,0.050270999999999996
Ozone,Vermont,3.0,0.037228333333333335,0.0004440555520802928,0.036717,0.037084,0.037451,0.037484,0.037517
Ozone,Virginia,23.0,0.04261304347826087,0.00202039322181376,0.038926999999999996,0.0413675,0.042685,0.044071,0.04575
Ozone,Washington,13.0,0.034279384615384614,0.005378567584070155,0.025693,0.031869999999999996,0.033201,0.036969999999999996,0.043616
Ozone,West Virginia,11.0,0.04174863636363636,0.0018777321572965228,0.038018,0.040538,0.041863,0.043160500000000004,0.044308
Ozone,Wisconsin,31.0,0.03858590322580645,0.0021637602971807932,0.034554999999999995,0.037290500000000004,0.038563,0.040507,0.042722
Ozone,Wyoming,32.0,0.0470633125,0.002960825750529741,0.040824,0.04539825,0.047102000000000005,0.049101250000000006,0.052138
PM2.5 - Local Conditions,Alabama,17.0,8.318953882352943,0.8392121744910435,7.213235000000001,7.551401999999999,8.302679,8.705,10.310833
PM2.5 - Local Conditions,Alaska,9.0,9.072468888888887,2.704737377476852,6.076667,7.427439,8.377059,9.796793,15.206646999999998
PM2.5 - Local Conditions,Arizona,7.0,6.47817357142857,3.0237018844940082,1.881818,4.9299675,6.8924369999999975,7.670037000000001,11.372950999999999
PM2.5 - Local Conditions,Arkansas,13.0,8.532442230769231,0.7701235591589785,7.524489999999999,8.0075,8.278151,8.827273,10.339831
PM2.5 - Local Conditions,California,79.0,8.50472353164557,2.6034016091912093,3.141667,6.5955070000000005,8.398529,10.864406500000001,13.752975
PM2.5 - Local Conditions,Colorado,13.0,5.856631076923076,1.9412649531759123,2.5,4.7210529999999995,6.016102,6.828814,9.488525
PM2.5 - Local Conditions,Connecticut,8.0,5.605915875000001,0.9095475559118764,3.800833,5.02579775,6.060833500000001,6.24819525,6.378947
PM2.5 - Local Conditions,Delaware,5.0,6.9552173999999996,0.5891112631178422,6.2466669999999995,6.5012659999999975,6.955445999999999,7.4881189999999975,7.5845889999999985
PM2.5 - Local Conditions,District Of Columbia,8.0,8.23198225,0.38597181099392314,7.8685389999999975,7.95033475,8.082998,8.426000499999999,8.87135
PM2.5 - Local Conditions,Florida,16.0,6.5016239375,0.6892039699334755,5.304167,5.92020375,6.549785999999999,7.009511000000001,7.599167
PM2.5 - Local Conditions,Georgia,19.0,8.239873842105261,0.872994691202343,6.032143,7.644058999999999,8.283332999999999,8.911017000000001,9.516529
PM2.5 - Local Conditions,Hawaii,14.0,2.257113357142857,1.0936440456475072,-1.006569,1.9099504999999999,2.539796,2.853163,3.413313
PM2.5 - Local Conditions,Idaho,9.0,7.711405666666666,2.3245621560541245,3.927479,5.793947999999999,8.207825999999999,9.655682,10.070808999999999
PM2.5 - Local Conditions,Illinois,20.0,8.9949968,1.0508923902489828,7.542609,8.1897745,9.034057,9.386026750000001,11.235714
PM2.5 - Local Conditions,Indiana,29.0,8.878872344827585,1.0571154227681938,7.405556,8.124138,8.620339,9.357142999999999,11.947826
PM2.5 - Local Conditions,Iowa,18.0,7.662621555555556,0.6790386182830772,6.426316,7.2445865,7.7002815,8.129224,8.971667
PM2.5 - Local Conditions,Kansas,3.0,6.769062999999999,1.276494349892313,5.300612,6.346776499999999,7.392940999999999,7.503288499999999,7.613636
PM2.5 - Local Conditions,Kentucky,16.0,7.412974062499999,0.879957558391651,5.683471,6.97049575,7.543879500000001,7.677928499999998,9.365289
PM2.5 - Local Conditions,Louisiana,14.0,8.034200785714285,1.021340823461092,6.790435,7.4879672500000005,7.7434565,8.347446499999998,10.695798
PM2.5 - Local Conditions,Maine,10.0,4.9504189,0.8647801454726256,3.327928,4.5419725,4.991207,5.3838785,6.581034
PM2.5 - Local Conditions,Maryland,4.0,7.8987725,0.7537154131591487,6.769421,7.8682175,8.252834499999999,8.2833895,8.32
PM2.5 - Local Conditions,Massachusetts,11.0,5.133052,0.3921369585629491,4.535714,4.898229,5.1522120000000005,5.3997475,5.702632
PM2.5 - Local Conditions,Michigan,17.0,7.803160764705882,1.276175108099567,4.981633,7.1228570000000015,7.6230769999999985,8.268908,10.778095
PM2.5 - Local Conditions,Minnesota,10.0,6.790725499999999,1.4269035958493597,4.1,6.77413825,7.043657499999999,7.374451249999998,8.983333
PM2.5 - Local Conditions,Mississippi,1.0,8.16087,,8.16087,8.16087,8.16087,8.16087,8.16087
PM2.5 - Local Conditions,Missouri,1.0,9.118362,,9.118362,9.118362,9.118362,9.118362,9.118362
PM2.5 - Local Conditions,Montana,3.0,2.3864116666666666,1.285061960921859,0.915,1.9355000000000002,2.9560000000000004,3.1221175,3.288235
PM2.5 - Local Conditions,Nebraska,6.0,6.0928955,0.9011803172854473,4.8353980000000005,5.419616249999999,6.498276,6.70911525,6.885965
PM2.5 - Local Conditions,Nevada,8.0,5.2898045,1.1775476297448504,3.841011,4.4131409999999995,4.9617854999999995,6.17778075,7.1339130000000015
PM2.5 - Local Conditions,New Hampshire,5.0,4.287425000000001,1.1867545679347518,3.24,3.33578,4.325234,4.344444,6.191667
PM2.5 - Local Conditions,New Jersey,17.0,7.28780982352941,0.95114066703664,5.553097,6.746154,7.1389830000000005,7.854700999999999,9.057522
PM2.5 - Local Conditions,New Mexico,9.0,5.870614777777778,1.563319182111636,2.874294,4.951976999999999,6.366667,6.8736989999999984,7.733333
PM2.5 - Local Conditions,New York,22.0,6.5311105909090905,1.328089681821355,2.846,5.918641249999999,6.619323499999999,7.320832999999999,8.613223
PM2.5 - Local Conditions,North Carolina,12.0,7.212124083333333,0.9300861171707272,5.717391,6.5280872500000005,7.4922049999999984,7.805787249999999,8.6
PM2.5 - Local Conditions,North Dakota,1.0,5.260331,,5.260331,5.260331,5.260331,5.260331,5.260331
PM2.5 - Local Conditions,Ohio,43.0,8.276092651162791,1.1167819585117662,6.240984,7.4992855,8.165000000000001,8.888289499999999,11.73
PM2.5 - Local Conditions,Oklahoma,7.0,7.363567857142857,0.6219211682703925,6.781667,6.9365255,7.167742,7.688071999999999,8.346371000000001
PM2.5 - Local Conditions,Oregon,13.0,8.070008307692307,1.392366207683907,6.486777,6.851667,7.631896999999999,9.198165,10.442936
PM2.5 - Local Conditions,Pennsylvania,22.0,8.715306499999999,1.128454152615268,6.8137929999999995,8.13452,8.558992,8.84366425,12.162185
PM2.5 - Local Conditions,Puerto Rico,7.0,6.505402857142856,0.8270993545728401,5.303571,5.919416,6.820513,7.0438624999999995,7.4871789999999985
PM2.5 - Local Conditions,Rhode Island,4.0,5.8116715,1.8968128336796086,3.922701,4.635220499999999,5.507731,6.684182,8.308523
PM2.5 - Local Conditions,South Carolina,11.0,7.552915363636362,0.3966336247168848,6.93697,7.2247379999999986,7.633871000000001,7.776508999999999,8.174336
PM2.5 - Local Conditions,South Dakota,3.0,5.552579333333334,0.48637735722824665,4.996721,5.378869,5.761017,5.8305085000000005,5.9
PM2.5 - Local Conditions,Tennessee,12.0,7.802612416666666,0.4080634356488444,7.343332999999999,7.497034,7.647107499999999,8.053231,8.495628
PM2.5 - Local Conditions,Texas,23.0,8.26431252173913,1.381141368901456,5.642816000000002,7.5113889999999985,8.242535,8.658395999999998,10.694986
PM2.5 - Local Conditions,Utah,15.0,5.924586,1.904305242184591,0.603333,5.360514,6.013565,6.8662665,9.003561999999997
PM2.5 - Local Conditions,Vermont,2.0,4.7279385000000005,1.826338728972394,3.436522,4.08223025,4.7279385000000005,5.37364675,6.019355
PM2.5 - Local Conditions,Virgin Islands,1.0,8.218283999999999,,8.218283999999999,8.218283999999999,8.218283999999999,8.218283999999999,8.218283999999999
PM2.5 - Local Conditions,Virginia,18.0,6.897253222222221,0.5150784537051046,6.2521010000000015,6.52723775,6.766625,7.1722505,7.9803419999999985
PM2.5 - Local Conditions,Washington,3.0,7.805554333333333,1.624766015822073,5.937624,7.262756499999999,8.587888999999999,8.7395195,8.89115
PM2.5 - Local Conditions,West Virginia,13.0,8.042143384615384,0.9466692837264182,6.986555,7.27027,7.771698,8.833912999999997,9.599145
PM2.5 - Local Conditions,Wisconsin,2.0,7.361397999999999,0.9193477099868133,6.711321000000001,7.0363595,7.361397999999999,7.6864365,8.011474999999999
PM2.5 - Local Conditions,Wyoming,14.0,3.833898857142857,1.483480695574632,1.830063,2.8335255,3.7477454999999997,4.2122305,7.655556
